company,year,tipo,region,actual_ton
PESQUERA CENTINELA S.A.C,2024,T2,Centro Norte,34102.1243515
PESQUERA CENTINELA S.A.C,2025,T2,Centro Norte,68488.0
PESQUERA DIAMANTE S.A.,2015,T2,Centro Norte,10490.0
PESQUERA DIAMANTE S.A.,2016,T1,Centro Norte,10830.0
PESQUERA DIAMANTE S.A.,2016,T2,Centro Norte,69957.0
PESQUERA DIAMANTE S.A.,2017,T1,Centro Norte,31260.0
PESQUERA DIAMANTE S.A.,2017,T2,Centro Norte,590.0
PESQUERA DIAMANTE S.A.,2018,T1,Centro Norte,148647.0
PESQUERA DIAMANTE S.A.,2018,T2,Centro Norte,100175.0
PESQUERA DIAMANTE S.A.,2019,T1,Centro Norte,52925.0
PESQUERA DIAMANTE S.A.,2019,T2,Centro Norte,46445.0
PESQUERA DIAMANTE S.A.,2020,T1,Centro Norte,80685.0
PESQUERA DIAMANTE S.A.,2020,T2,Centro Norte,79845.0
PESQUERA DIAMANTE S.A.,2021,T1,Centro Norte,88010.0
PESQUERA DIAMANTE S.A.,2021,T2,Centro Norte,53140.0
PESQUERA DIAMANTE S.A.,2022,T1,Centro Norte,80090.0
PESQUERA DIAMANTE S.A.,2022,T2,Centro Norte,65315.0
PESQUERA DIAMANTE S.A.,2023,T1,Centro Norte,270.0
PESQUERA DIAMANTE S.A.,2023,T2,Centro Norte,35540.0
PESQUERA DIAMANTE S.A.,2024,T1,Centro Norte,263544.9557422
PESQUERA DIAMANTE S.A.,2024,T2,Centro Norte,106616.0727898
PESQUERA DIAMANTE S.A.,2025,T1,Centro Norte,100299.2827696
PESQUERA DIAMANTE S.A.,2025,T2,Centro Norte,89941.0
PESQUERA EXALMAR S.A.A.,2018,T1,Centro Norte,77179.0
PESQUERA EXALMAR S.A.A.,2018,T2,Centro Norte,62082.0
PESQUERA EXALMAR S.A.A.,2019,T1,Centro Norte,64595.0
PESQUERA EXALMAR S.A.A.,2019,T2,Centro Norte,47797.0
PESQUERA EXALMAR S.A.A.,2020,T1,Centro Norte,71720.0
PESQUERA EXALMAR S.A.A.,2020,T2,Centro Norte,49973.0
PESQUERA EXALMAR S.A.A.,2021,T1,Centro Norte,71563.0
PESQUERA EXALMAR S.A.A.,2021,T2,Centro Norte,58168.0
PESQUERA EXALMAR S.A.A.,2022,T1,Centro Norte,79416.0
PESQUERA EXALMAR S.A.A.,2022,T2,Centro Norte,15590.0
PESQUERA EXALMAR S.A.A.,2023,T1,Centro Norte,255.6798316
PESQUERA EXALMAR S.A.A.,2023,T2,Centro Norte,16540.0
PESQUERA EXALMAR S.A.A.,2024,T1,Centro Norte,76794.5885926
PESQUERA EXALMAR S.A.A.,2024,T2,Centro Norte,55802.6756679
PESQUERA EXALMAR S.A.A.,2025,T1,Centro Norte,19246.3913862
TASA,2015,T2,Centro Norte,37335.5
TASA,2016,T1,Centro Norte,22130.0
TASA,2016,T2,Centro Norte,111140.2
TASA,2017,T1,Centro Norte,103891.0
TASA,2017,T2,Centro Norte,908.0
TASA,2018,T1,Centro Norte,243050.0
